project_name,version,license,pypi_url,github_url,snyk_url,type
Flask-AppBuilder,v4.3.1,License: BSD-3-Clause,https://www.pypi.org/project/Flask-AppBuilder,https://github.com/dpgaspar/Flask-AppBuilder,https://snyk.io/advisor/python/flask-appbuilder,key-ecosystem-project
Flask-Cors,v3.0.10,License: MIT,https://www.pypi.org/project/Flask-Cors,https://github.com/corydolphin/flask-cors,https://snyk.io/advisor/python/flask-cors,key-ecosystem-project
Flask-JWT-Extended,v4.4.4,License: MIT,https://www.pypi.org/project/Flask-JWT-Extended,https://github.com/vimalloc/flask-jwt-extended,https://snyk.io/advisor/python/flask-jwt-extended,key-ecosystem-project
Flask-Login,v0.6.2,License: MIT,https://www.pypi.org/project/Flask-Login,https://github.com/maxcountryman/flask-login,https://snyk.io/advisor/python/flask-login,key-ecosystem-project
Flask-SQLAlchemy,v3.0.3,License: BSD-3-Clause,https://www.pypi.org/project/Flask-SQLAlchemy,https://github.com/pallets-eco/flask-sqlalchemy,https://snyk.io/advisor/python/flask-sqlalchemy,key-ecosystem-project
Flask-WTF,v1.1.1,License: BSD-3-Clause,https://www.pypi.org/project/Flask-WTF,https://github.com/wtforms/flask-wtf,https://snyk.io/advisor/python/flask-wtf,key-ecosystem-project
flatbuffers,v23.3.3,License: Apache-2.0,https://www.pypi.org/project/flatbuffers,https://github.com/google/flatbuffers,https://snyk.io/advisor/python/flatbuffers,key-ecosystem-project
fonttools,v4.39.3,License: MIT,https://www.pypi.org/project/fonttools,https://github.com/fonttools/fonttools,https://snyk.io/advisor/python/fonttools,key-ecosystem-project
freezegun,v1.2.2,License: Apache-2.0,https://www.pypi.org/project/freezegun,https://github.com/spulec/freezegun,https://snyk.io/advisor/python/freezegun,key-ecosystem-project
fsspec,v2023.4.0,License: BSD-3-Clause,https://www.pypi.org/project/fsspec,https://github.com/fsspec/filesystem_spec,https://snyk.io/advisor/python/fsspec,key-ecosystem-project
future,v0.18.3,License: MIT,https://www.pypi.org/project/future,https://github.com/PythonCharmers/python-future,https://snyk.io/advisor/python/future,key-ecosystem-project
fuzzywuzzy,v0.18.0,License: GPL-2.0,https://www.pypi.org/project/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,https://snyk.io/advisor/python/fuzzywuzzy,key-ecosystem-project
gevent,v22.10.2,License: MIT,https://www.pypi.org/project/gevent,https://github.com/gevent/gevent,https://snyk.io/advisor/python/gevent,key-ecosystem-project
GitPython,v3.1.31,License: BSD-3-Clause,https://www.pypi.org/project/GitPython,https://github.com/gitpython-developers/GitPython,https://snyk.io/advisor/python/gitpython,key-ecosystem-project
google-api-python-client,v2.86.0,License: Apache-2.0,https://www.pypi.org/project/google-api-python-client,https://github.com/googleapis/google-api-python-client,https://snyk.io/advisor/python/google-api-python-client,key-ecosystem-project
google-auth,v2.17.3,License: Apache-2.0,https://www.pypi.org/project/google-auth,https://github.com/googleapis/google-auth-library-python,https://snyk.io/advisor/python/google-auth,key-ecosystem-project
google-cloud-bigquery,v3.10.0,License: Apache-2.0,https://www.pypi.org/project/google-cloud-bigquery,https://github.com/googleapis/python-bigquery,https://snyk.io/advisor/python/google-cloud-bigquery,key-ecosystem-project
graphframes,v0.6,License: Apache-2.0,https://www.pypi.org/project/graphframes,https://github.com/graphframes/graphframes,https://snyk.io/advisor/python/graphframes,key-ecosystem-project
graphviz,v0.20.1,License: MIT,https://www.pypi.org/project/graphviz,https://github.com/xflr6/graphviz,https://snyk.io/advisor/python/graphviz,key-ecosystem-project
great-expectations,v0.16.8,License: Apache-2.0,https://www.pypi.org/project/great-expectations,https://github.com/great-expectations/great_expectations,https://snyk.io/advisor/python/great-expectations,key-ecosystem-project
greenlet,v2.0.2,License: MIT,https://www.pypi.org/project/greenlet,https://github.com/python-greenlet/greenlet,https://snyk.io/advisor/python/greenlet,key-ecosystem-project
grpcio,v1.54.0,License: Apache-2.0,https://www.pypi.org/project/grpcio,https://github.com/grpc/grpc,https://snyk.io/advisor/python/grpcio,key-ecosystem-project
grpcio-tools,v1.54.0,License: Apache-2.0,https://www.pypi.org/project/grpcio-tools,https://github.com/grpc/grpc,https://snyk.io/advisor/python/grpcio-tools,key-ecosystem-project
gspread,v5.8.0,License: MIT,https://www.pypi.org/project/gspread,https://github.com/burnash/gspread,https://snyk.io/advisor/python/gspread,key-ecosystem-project
gunicorn,v20.1.0,License: MIT,https://www.pypi.org/project/gunicorn,https://github.com/benoitc/gunicorn,https://snyk.io/advisor/python/gunicorn,key-ecosystem-project
h2,v4.1.0,License: MIT,https://www.pypi.org/project/h2,https://github.com/python-hyper/h2,https://snyk.io/advisor/python/h2,key-ecosystem-project
h5py,v3.8.0,License: BSD-3-Clause,https://www.pypi.org/project/h5py,https://github.com/h5py/h5py,https://snyk.io/advisor/python/h5py,key-ecosystem-project
holidays,v0.23,License: MIT,https://www.pypi.org/project/holidays,https://github.com/dr-prodigy/python-holidays,https://snyk.io/advisor/python/holidays,key-ecosystem-project
html5lib,v1.1,License: MIT,https://www.pypi.org/project/html5lib,https://github.com/html5lib/html5lib-python,https://snyk.io/advisor/python/html5lib,key-ecosystem-project
httptools,v0.5.0,License: MIT,https://www.pypi.org/project/httptools,https://github.com/MagicStack/httptools,https://snyk.io/advisor/python/httptools,key-ecosystem-project
httpx,v0.24.0,License: BSD-3-Clause,https://www.pypi.org/project/httpx,https://github.com/encode/httpx,https://snyk.io/advisor/python/httpx,key-ecosystem-project
huggingface-hub,v0.13.4,License: Apache-2.0,https://www.pypi.org/project/huggingface-hub,https://github.com/huggingface/huggingface_hub,https://snyk.io/advisor/python/huggingface-hub,key-ecosystem-project
hvac,v1.1.0,License: Apache-2.0,https://www.pypi.org/project/hvac,https://github.com/hvac/hvac,https://snyk.io/advisor/python/hvac,key-ecosystem-project
hypothesis,v6.72.1,License: MPL-2.0,https://www.pypi.org/project/hypothesis,https://github.com/HypothesisWorks/hypothesis,https://snyk.io/advisor/python/hypothesis,key-ecosystem-project
ijson,v3.2.0.post0,License: BSD-2-Clause,https://www.pypi.org/project/ijson,https://github.com/ICRAR/ijson,https://snyk.io/advisor/python/ijson,key-ecosystem-project
imageio,v2.27.0,License: BSD-2-Clause,https://www.pypi.org/project/imageio,https://github.com/imageio/imageio,https://snyk.io/advisor/python/imageio,key-ecosystem-project
invoke,v2.0.0,License: BSD-2-Clause,https://www.pypi.org/project/invoke,https://github.com/pyinvoke/invoke,https://snyk.io/advisor/python/invoke,key-ecosystem-project
ipykernel,v6.22.0,License: BSD-3-Clause,https://www.pypi.org/project/ipykernel,https://github.com/ipython/ipykernel,https://snyk.io/advisor/python/ipykernel,key-ecosystem-project
ipython,v8.12.0,License: BSD-3-Clause,https://www.pypi.org/project/ipython,https://github.com/ipython/ipython,https://snyk.io/advisor/python/ipython,key-ecosystem-project
ipywidgets,v8.0.6,License: BSD-3-Clause,https://www.pypi.org/project/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,https://snyk.io/advisor/python/ipywidgets,key-ecosystem-project
isort,v5.12.0,License: MIT,https://www.pypi.org/project/isort,https://github.com/PyCQA/isort,https://snyk.io/advisor/python/isort,key-ecosystem-project
itsdangerous,v2.1.2,License: BSD-3-Clause,https://www.pypi.org/project/itsdangerous,https://github.com/pallets/itsdangerous,https://snyk.io/advisor/python/itsdangerous,key-ecosystem-project
jedi,v0.18.2,License: MIT,https://www.pypi.org/project/jedi,https://github.com/davidhalter/jedi,https://snyk.io/advisor/python/jedi,key-ecosystem-project
Jinja2,v3.1.2,License: BSD-3-Clause,https://www.pypi.org/project/Jinja2,https://github.com/pallets/jinja,https://snyk.io/advisor/python/jinja2,key-ecosystem-project
jira,v3.5.0,License: BSD-2-Clause,https://www.pypi.org/project/jira,https://github.com/pycontribs/jira,https://snyk.io/advisor/python/jira,key-ecosystem-project
jmespath,v1.0.1,License: MIT,https://www.pypi.org/project/jmespath,https://github.com/jmespath/jmespath.py,https://snyk.io/advisor/python/jmespath,key-ecosystem-project
joblib,v1.2.0,License: BSD-3-Clause,https://www.pypi.org/project/joblib,https://github.com/joblib/joblib,https://snyk.io/advisor/python/joblib,key-ecosystem-project
jsonpickle,v3.0.1,License: BSD-3-Clause,https://www.pypi.org/project/jsonpickle,https://github.com/jsonpickle/jsonpickle,https://snyk.io/advisor/python/jsonpickle,key-ecosystem-project
jsonschema,v4.17.3,License: MIT,https://www.pypi.org/project/jsonschema,https://github.com/python-jsonschema/jsonschema,https://snyk.io/advisor/python/jsonschema,key-ecosystem-project
jupyterlab-widgets,v3.0.7,License: BSD-3-Clause,https://www.pypi.org/project/jupyterlab-widgets,https://github.com/jupyter-widgets/ipywidgets,https://snyk.io/advisor/python/jupyterlab-widgets,key-ecosystem-project
